,date,city,state,winscore,losscore,loser,winner,locale,TSU score,opponent score,scorediff,scorediff_abs,winloss,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,opponent,gametype,year,TSU score_new,opponent score_new,scorediff_new,scorediff_abs_new,attendance_new,TSUrushyards_new,TSUreceiveyards_new,TSUkreturnyards_new,TSUpreturnyards_new,TSUtackleyd_new,TSUsacks_new,TSUsackyd_new,TSUpunt_new
17,2004-10-16,Jacksonville,AL,49,35,Tennessee State University,Jacksonville State University,Away,35,49,-14,14,Loss,14722,106,381,120,0,77,0,0.0,0,4,Jacksonville State University,conference,2004,35.0,49.0,-14.0,14.0,14722.0,106.0,381.0,120.0,0.0,0.0,0.0,0.0,4.0
18,2004-10-23,Nashville,TN,42,36,Tennessee State University,Samford University,Home,36,42,-6,6,Loss,5041,290,211,127,36,88,23,1.0,5,4,Samford University,nonconference,2004,36.0,42.0,-6.0,6.0,5041.0,290.0,211.0,127.0,36.0,23.0,1.0,5.0,4.0
19,2004-10-30,Charleston,IL,34,24,Tennessee State University,Eastern Illinois University,Away,24,34,-10,10,Loss,5422,22,192,100,77,66,6,0.0,0,8,Eastern Illinois University,conference,2004,24.0,34.0,-10.0,10.0,5422.0,22.0,192.0,100.0,18.75392670157068,6.0,0.0,0.0,8.0
20,2004-11-06,Nashville,TN,38,36,Southeast Missouri State University,Tennessee State University,Home,38,36,2,2,Win,23421,243,215,76,22,63,31,2.0,12,7,Southeast Missouri State University,conference,2004,38.0,36.0,2.0,2.0,23421.0,243.0,215.0,76.0,22.0,31.0,2.0,12.0,7.0
21,2004-11-13,Richmond,KY,29,14,Tennessee State University,Eastern Kentucky University,Away,14,29,-15,15,Loss,7100,194,162,95,63,67,25,1.0,5,6,Eastern Kentucky University,conference,2004,14.0,29.0,-15.0,15.0,7100.0,194.0,162.0,95.0,63.0,25.0,1.0,5.0,6.0
22,2004-11-20,Nashville,TN,30,13,Tennessee State University,Murray State University,Home,13,30,-17,17,Loss,4864,83,142,130,0,66,16,0.0,0,8,Murray State University,conference,2004,13.0,30.0,-17.0,17.0,4864.0,83.0,142.0,130.0,0.0,16.0,0.0,0.0,8.0
23,2005-09-03,Nashville,TN,27,14,Tennessee State University,Alabama A&M University,Home,14,27,-13,13,Loss,25342,72,154,62,32,47,20,2.0,13,4,Alabama A&M University,nonconference,2005,14.0,27.0,-13.0,13.0,25342.0,72.0,154.0,62.0,32.0,20.0,2.0,13.0,4.0
24,2005-09-10,Memphis,TN,20,14,Jackson State University,Tennessee State University,Away,20,14,6,6,Win,48300,286,103,11,47,59,29,3.0,16,3,Jackson State University,nonconference,2005,20.0,14.0,6.0,6.0,16985.230366492146,286.0,103.0,11.0,47.0,29.0,3.0,16.0,3.0
25,2005-09-17,Martin,TN,42,20,Tennessee State University,University of Tennessee Martin,Away,20,42,-22,22,Loss,5263,77,170,110,-2,95,17,1.0,6,6,University of Tennessee Martin,conference,2005,20.0,42.0,-22.0,22.0,5263.0,77.0,170.0,110.0,-2.0,17.0,1.0,6.0,6.0
26,2005-09-24,Atlanta,GA,12,7,Tennessee State University,Florida A&M University,Away,7,12,-5,5,Loss,56297,26,238,10,67,70,56,7.0,50,6,Florida A&M University,nonconference,2005,7.0,12.0,-5.0,5.0,16985.230366492146,26.0,238.0,10.0,67.0,56.0,2.089005235602094,13.534031413612565,6.0
27,2005-10-01,Indianapolis,IN,16,3,Tennessee State University,North Carolina A&T State University,Away,3,16,-13,13,Loss,42310,117,115,99,49,75,56,6.0,37,6,North Carolina A&T State University,nonconference,2005,3.0,16.0,-13.0,13.0,42310.0,117.0,115.0,99.0,49.0,56.0,6.0,37.0,6.0
28,2005-10-13,Cookeville,TN,31,20,Tennessee Tech University,Tennessee State University,Away,31,20,11,11,Win,10226,233,78,71,53,89,41,2.0,11,8,Tennessee Tech University,conference,2005,31.0,20.0,11.0,11.0,10226.0,233.0,78.0,71.0,53.0,41.0,2.0,11.0,8.0
29,2005-10-22,Nashville,TN,33,3,Tennessee State University,Jacksonville State University,Home,3,33,-30,30,Loss,6490,157,185,114,14,62,9,0.0,0,5,Jacksonville State University,conference,2005,3.0,33.0,-30.0,30.0,6490.0,157.0,185.0,114.0,14.0,9.0,0.0,0.0,5.0
30,2005-10-29,Birmingham,AL,31,11,Tennessee State University,Samford University,Away,11,31,-20,20,Loss,8278,87,160,78,3,72,20,2.0,8,7,Samford University,nonconference,2005,11.0,31.0,-20.0,20.0,8278.0,87.0,160.0,78.0,3.0,20.0,2.0,8.0,7.0
31,2005-11-05,Nashville,TN,27,3,Tennessee State University,Eastern Illinois University,Home,3,27,-24,24,Loss,23481,50,196,90,0,61,26,1.0,14,5,Eastern Illinois University,conference,2005,3.0,27.0,-24.0,24.0,23481.0,50.0,196.0,90.0,0.0,26.0,1.0,14.0,5.0
32,2005-11-12,Cape Girardeau,MO,32,24,Tennessee State University,Southeast Missouri State University,Away,24,32,-8,8,Loss,2512,141,286,128,1,53,20,1.0,7,5,Southeast Missouri State University,conference,2005,24.0,32.0,-8.0,8.0,2512.0,141.0,286.0,128.0,1.0,20.0,1.0,7.0,5.0
33,2005-11-19,Nashville,TN,49,0,Tennessee State University,Eastern Kentucky University,Home,0,49,-49,49,Loss,4779,-18,150,138,0,64,6,0.0,0,8,Eastern Kentucky University,conference,2005,0.0,49.0,-0.17801047120418848,14.502617801047121,4779.0,-18.0,150.0,138.0,0.0,6.0,0.0,0.0,8.0
34,2006-09-02,Nashville,TN,27,20,Tennessee State University,Alabama A&M University,Home,20,27,-7,7,Loss,19487,156,206,105,0,63,3,0.0,0,2,Alabama A&M University,nonconference,2006,20.0,27.0,-7.0,7.0,19487.0,156.0,206.0,105.0,0.0,3.0,0.0,0.0,2.0
35,2006-09-09,Nashville,TN,25,15,Murray State University,Tennessee State University,Home,25,15,10,10,Win,10613,111,230,102,0,76,38,3.0,23,5,Murray State University,conference,2006,25.0,15.0,10.0,10.0,10613.0,111.0,230.0,102.0,0.0,38.0,3.0,23.0,5.0
36,2006-09-16,Memphis,TN,31,30,Jackson State University,Tennessee State University,Away,31,30,1,1,Win,53441,146,167,77,24,63,18,1.0,6,2,Jackson State University,nonconference,2006,31.0,30.0,1.0,1.0,16985.230366492146,146.0,167.0,77.0,24.0,18.0,1.0,6.0,2.0
37,2006-09-23,Nashville,TN,38,9,Tennessee State University,Vanderbilt University,Home,9,38,-29,29,Loss,27460,71,181,70,0,59,25,1.0,7,3,Vanderbilt University,nonconference,2006,9.0,38.0,-29.0,29.0,27460.0,71.0,181.0,70.0,0.0,25.0,1.0,7.0,3.0
38,2006-09-30,Atlanta,GA,25,22,Tennessee State University,Florida A&M University,Away,22,25,-3,3,Loss,57885,227,210,98,16,54,14,1.0,4,4,Florida A&M University,nonconference,2006,22.0,25.0,-3.0,3.0,16985.230366492146,227.0,210.0,98.0,16.0,14.0,1.0,4.0,4.0
39,2006-10-14,Nashville,TN,30,20,Tennessee Tech University,Tennessee State University,Home,30,20,10,10,Win,9720,310,169,45,4,64,15,1.0,8,4,Tennessee Tech University,conference,2006,30.0,20.0,10.0,10.0,9720.0,310.0,169.0,45.0,4.0,15.0,1.0,8.0,4.0
40,2006-10-21,Jacksonville,AL,38,31,Jacksonville State University,Tennessee State University,Away,38,31,7,7,Win,11800,103,260,119,20,77,26,3.0,20,6,Jacksonville State University,conference,2006,38.0,31.0,7.0,7.0,11800.0,103.0,260.0,119.0,20.0,26.0,3.0,20.0,6.0
41,2006-10-28,Nashville,TN,29,7,Samford University,Tennessee State University,Home,29,7,22,22,Win,18758,247,105,23,13,45,28,3.0,16,3,Samford University,nonconference,2006,29.0,7.0,22.0,22.0,18758.0,247.0,105.0,23.0,13.0,28.0,3.0,16.0,3.0
42,2006-11-04,Charleston,IL,29,3,Tennessee State University,Eastern Illinois University,Away,3,29,-26,26,Loss,5912,49,162,115,0,88,22,1.0,10,6,Eastern Illinois University,conference,2006,3.0,29.0,-26.0,26.0,5912.0,49.0,162.0,115.0,0.0,22.0,1.0,10.0,6.0
43,2006-11-11,Nashville,TN,31,0,Southeast Missouri State University,Tennessee State University,Home,31,0,31,31,Win,4271,133,152,0,17,44,27,4.0,23,4,Southeast Missouri State University,conference,2006,31.0,0.0,31.0,31.0,4271.0,133.0,152.0,0.0,17.0,27.0,4.0,23.0,4.0
44,2006-11-18,Richmond,KY,20,3,Tennessee State University,Eastern Kentucky University,Away,3,20,-17,17,Loss,5500,95,162,126,7,70,30,2.0,14,1,Eastern Kentucky University,conference,2006,3.0,20.0,-17.0,17.0,5500.0,95.0,162.0,126.0,7.0,30.0,2.0,14.0,1.0
45,2007-09-01,Nashville,TN,49,23,Tennessee State University,Alabama A&M University,Home,23,49,-26,26,Loss,23440,206,176,154,35,56,17,2.0,15,6,Alabama A&M University,nonconference,2007,23.0,49.0,-26.0,26.0,23440.0,206.0,176.0,154.0,35.0,17.0,2.0,15.0,6.0
46,2007-09-08,Memphis,TN,16,13,Jackson State University,Tennessee State University,Away,16,13,3,3,Win,50879,153,232,84,24,63,30,2.0,16,5,Jackson State University,nonconference,2007,16.0,13.0,3.0,3.0,16985.230366492146,153.0,232.0,84.0,24.0,30.0,2.0,16.0,5.0
47,2007-09-15,Clarksville,TN,33,32,Austin Peay State University,Tennessee State University,Away,33,32,1,1,Win,8359,238,233,83,14,64,44,3.0,26,3,Austin Peay State University,conference,2007,33.0,32.0,1.0,1.0,8359.0,238.0,233.0,83.0,14.0,44.0,3.0,26.0,3.0
