,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,year
0,2011-09-03,25209,342,170,48,0,45,41,5.0,30,3,2011
1,2011-09-10,43532,78,226,146,5,64,45,3.0,31,6,2011
2,2011-09-17,10031,168,207,197,17,94,32,3.0,21,9,2011
3,2011-09-24,33487,188,206,97,0,88,0,0.0,0,8,2011
4,2011-10-01,8614,162,304,158,0,61,20,2.0,10,2,2011
5,2011-10-08,6234,258,278,15,115,54,17,1.0,9,2,2011
6,2011-10-15,8676,166,232,118,5,88,38,5.0,32,5,2011
7,2011-10-22,10800,65,343,112,17,80,20,3.0,14,4,2011
8,2011-11-05,6774,200,118,64,0,59,23,3.0,17,7,2011
9,2011-11-12,19537,253,263,46,5,53,14,1.0,1,5,2011
10,2011-11-19,6137,87,262,129,16,50,18,2.0,10,5,2011
