,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,year
0,2014-08-30,10541,439,71,77,57,53,38,2.0,13,1,2014
1,2014-09-06,15725,92,340,111,22,89,28,3.0,13,8,2014
2,2014-09-13,46914,137,187,29,40,54,40,7.0,33,8,2014
3,2014-09-20,9217,92,113,0,15,48,31,6.0,28,9,2014
4,2014-09-27,29225,125,153,24,56,64,51,7.0,44,7,2014
5,2014-10-04,8089,143,362,53,24,81,9,0.0,0,5,2014
6,2014-10-11,5849,43,364,63,12,75,21,2.0,13,3,2014
7,2014-10-18,6738,53,314,32,-1,73,48,3.0,22,8,2014
8,2014-10-25,8289,107,180,136,1,54,17,1.0,9,6,2014
9,2014-11-01,5052,105,326,198,0,84,19,2.0,4,5,2014
10,2014-11-08,6143,111,395,58,-2,85,29,2.0,15,0,2014
11,2014-11-22,1962,114,463,48,0,81,63,8.0,51,6,2014
