,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,year
0,2004-09-04,25117,152,203,24,26,74,35,2.0,12,4,2004
1,2004-09-09,7019,156,158,34,32,65,60,4.0,30,7,2004
2,2004-09-18,55015,164,149,39,10,63,19,2.0,7,7,2004
3,2004-09-25,67712,161,163,49,32,78,70,5.0,49,9,2004
4,2004-10-02,51082,22,173,57,0,91,17,1.0,4,9,2004
5,2004-10-16,14722,106,381,120,0,77,0,0.0,0,4,2004
6,2004-10-23,5041,290,211,127,36,88,23,1.0,5,4,2004
7,2004-10-30,5422,22,192,100,77,66,6,0.0,0,8,2004
8,2004-11-06,23421,243,215,76,22,63,31,2.0,12,7,2004
9,2004-11-13,7100,194,162,95,63,67,25,1.0,5,6,2004
10,2004-11-20,4864,83,142,130,0,66,16,0.0,0,8,2004
