,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,year
0,2016-09-03,15078,202,259,29,64,52,39,5.0,31,3,2016
1,2016-09-10,46263,121,273,96,11,61,40,3.0,21,6,2016
2,2016-09-17,9385,210,184,122,23,52,17,1.0,1,5,2016
3,2016-10-01,10001,141,223,80,0,63,28,2.0,12,1,2016
4,2016-10-08,4319,76,303,113,0,75,6,1.0,3,5,2016
5,2016-10-15,21053,200,181,78,0,74,14,0.0,0,3,2016
6,2016-10-22,31084,125,285,59,0,65,6,1.0,5,3,2016
7,2016-10-29,8605,226,329,142,10,74,20,2.0,14,2,2016
8,2016-11-05,6041,246,212,86,14,90,24,2.0,13,5,2016
9,2016-11-12,8981,93,202,93,17,53,2,1.0,0,3,2016
10,2016-11-19,3117,196,279,93,17,69,36,3.0,26,3,2016
