,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,year
0,2018-09-01,14069,201,324,49,64,54,43,5.0,35,6,2018
1,2018-09-22,7670,195,349,150,51,63,30,2.0,15,4,2018
2,2018-09-29,27340,104,269,105,3,69,5,0.0,0,4,2018
3,2018-10-06,12201,164,325,134,34,77,19,0.0,0,4,2018
4,2018-10-13,3318,63,307,140,-1,74,19,1.0,7,5,2018
5,2018-10-20,17283,149,323,48,14,77,28,4.0,21,4,2018
6,2018-11-03,3481,253,255,78,0,65,28,2.0,14,3,2018
7,2018-11-10,6718,178,164,36,0,60,27,2.0,19,5,2018
8,2018-11-17,3618,89,170,63,29,64,38,2.0,18,7,2018
