,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,year
0,2010-09-04,22607,107,127,127,36,64,42,7.0,40,6,2010
1,2010-09-11,44688,224,185,133,28,60,26,0.0,0,6,2010
2,2010-09-18,8502,162,225,134,25,57,24,2.0,13,3,2010
3,2010-09-25,54202,304,109,33,142,58,60,8.0,48,5,2010
4,2010-10-02,35217,379,142,20,13,66,34,5.0,31,4,2010
5,2010-10-09,10316,152,147,90,0,86,17,1.0,9,5,2010
6,2010-10-16,15218,154,65,61,-19,66,11,0.0,0,8,2010
7,2010-10-23,6739,158,203,56,1,67,24,1.0,4,3,2010
8,2010-11-06,21596,180,277,29,21,66,19,1.0,7,7,2010
9,2010-11-13,3141,72,51,116,2,55,12,1.0,7,9,2010
10,2010-11-20,2904,198,289,134,1,65,30,1.0,4,5,2010
