,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,year
0,2009-09-05,23871,13,178,46,0,71,18,1,7,6,2009
1,2009-09-12,43306,217,43,19,20,60,42,3,26,9,2009
2,2009-09-19,12247,169,86,75,13,81,28,3,15,8,2009
3,2009-09-26,51950,167,107,95,2,63,14,1,5,6,2009
4,2009-10-03,6314,259,95,72,30,58,20,3,15,5,2009
5,2009-10-10,7100,159,124,81,24,52,24,3,14,8,2009
6,2009-10-17,5572,169,68,64,5,69,21,2,12,6,2009
7,2009-10-31,7999,152,128,78,7,56,35,2,18,7,2009
8,2009-11-07,22092,62,207,97,7,83,9,0,0,7,2009
9,2009-11-14,6968,104,189,60,2,73,6,0,0,8,2009
10,2009-11-19,3509,176,135,55,-4,47,19,2,11,8,2009
