,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,year
0,2019-08-31,13458,117,330,13,61,58,3,0.0,0,6,2019
1,2019-09-07,20912,207,259,108,0,49,13,1.0,7,5,2019
2,2019-09-14,48347,141,389,155,0,55,19,1.0,8,3,2019
3,2019-09-21,8683,71,334,74,15,65,13,1.0,3,6,2019
4,2019-09-28,8861,112,270,38,7,74,11,1.0,5,5,2019
5,2019-10-05,16589,230,240,56,0,75,13,1.0,7,3,2019
6,2019-10-12,5324,108,312,55,8,67,21,1.0,7,3,2019
7,2019-10-19,16389,116,220,66,0,60,11,1.0,0,6,2019
8,2019-11-02,4738,83,217,113,13,62,17,2.0,8,4,2019
9,2019-11-09,4131,97,209,162,62,63,46,2.0,21,3,2019
10,2019-11-16,1776,193,123,105,6,67,26,2.0,12,6,2019
11,2019-11-23,2728,198,225,51,25,79,22,2.0,14,4,2019
