,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,year
0,2017-08-31,24333,238,145,44,0,59,26,3.0,17,5,2017
1,2017-09-09,47407,160,78,49,41,76,21,4.0,18,6,2017
2,2017-09-17,17102,241,273,63,7,38,19,0.0,0,2,2017
3,2017-09-23,6484,100,159,160,3,77,21,1.0,5,6,2017
4,2017-09-30,11013,83,195,48,0,73,14,0.0,0,6,2017
5,2017-10-07,8410,193,106,25,-3,60,8,1.0,1,5,2017
6,2017-10-14,21127,106,208,64,13,61,11,1.0,0,4,2017
7,2017-10-28,5235,83,331,135,-2,62,28,1.0,9,4,2017
8,2017-11-04,7487,174,274,18,94,41,45,6.0,34,3,2017
9,2017-11-11,8693,147,196,103,29,57,14,1.0,5,4,2017
10,2017-11-16,18782,15,82,140,1,71,18,1.0,9,11,2017
