,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,year
0,2003-08-30,18124,113,365,69,88,69,33,3.0,21,5,2003
1,2003-09-06,18085,141,146,147,8,68,22,0.0,0,7,2003
2,2003-09-13,52603,209,132,138,107,84,26,1.0,4,5,2003
3,2003-09-20,70185,153,138,86,2,50,22,0.0,0,6,2003
4,2003-09-27,8434,142,285,11,29,76,46,4.0,22,3,2003
5,2003-10-11,8127,182,297,33,52,74,44,4.0,30,2,2003
6,2003-10-18,8023,47,175,90,-17,79,9,1.0,9,6,2003
7,2003-10-25,10360,132,271,50,45,83,34,2.0,24,8,2003
8,2003-11-01,25037,223,184,8,9,65,23,2.0,12,5,2003
9,2003-11-08,5375,149,196,139,18,65,23,2.0,14,5,2003
10,2003-11-15,3875,144,371,112,0,75,32,4.0,20,10,2003
11,2003-11-22,2814,191,195,63,15,67,37,5.0,28,7,2003
