,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,year
0,2007-09-01,23440,206,176,154,35,56,17,2,15,6,2007
1,2007-09-08,50879,153,232,84,24,63,30,2,16,5,2007
2,2007-09-15,8359,238,233,83,14,64,44,3,26,3,2007
3,2007-09-22,15371,133,316,135,15,80,56,3,36,7,2007
4,2007-09-29,56990,177,309,111,33,78,28,3,23,4,2007
5,2007-10-11,9369,320,138,64,8,70,23,0,0,4,2007
6,2007-10-20,11500,169,127,122,0,77,19,1,10,10,2007
7,2007-10-27,8935,166,189,84,20,88,12,0,0,5,2007
8,2007-11-03,24878,280,69,6,77,93,25,3,15,3,2007
9,2007-11-08,4193,187,125,94,-1,75,35,1,11,5,2007
10,2007-11-17,7859,290,173,222,31,92,14,1,8,3,2007
