,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,year
0,2005-09-03,25342,72,154,62,32,47,20,2.0,13,4,2005
1,2005-09-10,48300,286,103,11,47,59,29,3.0,16,3,2005
2,2005-09-17,5263,77,170,110,-2,95,17,1.0,6,6,2005
3,2005-09-24,56297,26,238,10,67,70,56,7.0,50,6,2005
4,2005-10-01,42310,117,115,99,49,75,56,6.0,37,6,2005
5,2005-10-13,10226,233,78,71,53,89,41,2.0,11,8,2005
6,2005-10-22,6490,157,185,114,14,62,9,0.0,0,5,2005
7,2005-10-29,8278,87,160,78,3,72,20,2.0,8,7,2005
8,2005-11-05,23481,50,196,90,0,61,26,1.0,14,5,2005
9,2005-11-12,2512,141,286,128,1,53,20,1.0,7,5,2005
10,2005-11-19,4779,-18,150,138,0,64,6,0.0,0,8,2005
