,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,year
0,2006-09-02,19487,156,206,105,0,63,3,0.0,0,2,2006
1,2006-09-09,10613,111,230,102,0,76,38,3.0,23,5,2006
2,2006-09-16,53441,146,167,77,24,63,18,1.0,6,2,2006
3,2006-09-23,27460,71,181,70,0,59,25,1.0,7,3,2006
4,2006-09-30,57885,227,210,98,16,54,14,1.0,4,4,2006
5,2006-10-14,9720,310,169,45,4,64,15,1.0,8,4,2006
6,2006-10-21,11800,103,260,119,20,77,26,3.0,20,6,2006
7,2006-10-28,18758,247,105,23,13,45,28,3.0,16,3,2006
8,2006-11-04,5912,49,162,115,0,88,22,1.0,10,6,2006
9,2006-11-11,4271,133,152,0,17,44,27,4.0,23,4,2006
10,2006-11-18,5500,95,162,126,7,70,30,2.0,14,1,2006
