,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,year
0,2008-08-30,10072,107,292,160,2,46,20,1,10,3,2008
1,2008-09-06,28830,148,315,66,37,76,29,1,4,3,2008
2,2008-09-13,50794,148,137,34,38,58,9,0,0,3,2008
3,2008-09-20,8276,229,314,84,6,51,48,3,27,3,2008
4,2008-09-27,50428,136,241,95,2,61,37,3,23,5,2008
5,2008-10-04,7549,177,155,93,21,74,13,0,0,6,2008
6,2008-10-18,9358,377,108,101,0,62,25,2,22,1,2008
7,2008-10-25,9750,217,233,72,18,54,27,2,15,1,2008
8,2008-11-01,24361,212,138,32,37,67,30,2,16,4,2008
9,2008-11-08,6393,309,162,59,4,68,19,2,13,4,2008
10,2008-11-15,7956,177,170,57,42,69,10,1,8,7,2008
11,2008-11-22,2292,113,210,57,-2,60,26,2,11,5,2008
