,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,year
0,2013-09-01,16108,116,132,84,51,62,7,1.0,4,5,2013
1,2013-09-07,14237,268,131,111,17,41,35,3.0,18,4,2013
2,2013-09-14,42400,174,111,64,11,69,26,2.0,13,3,2013
3,2013-09-21,10044,95,343,63,23,76,51,3.0,28,5,2013
4,2013-09-28,22000,311,228,46,75,70,44,3.0,17,1,2013
5,2013-10-05,7374,264,280,24,7,37,12,1.0,8,3,2013
6,2013-10-12,19092,215,133,48,46,70,61,5.0,18,6,2013
7,2013-10-19,4166,69,170,64,0,78,56,5.0,35,6,2013
8,2013-10-26,22157,126,212,19,56,70,31,3.0,27,8,2013
9,2013-11-02,5700,71,101,96,-1,63,3,0.0,0,9,2013
10,2013-11-09,5258,146,173,8,13,60,59,5.0,37,5,2013
11,2013-11-16,6412,241,60,45,19,54,31,3.0,20,8,2013
12,2013-11-30,1928,152,263,-9,-3,47,21,2.0,7,4,2013
13,2013-12-07,4825,45,242,52,2,73,13,1.0,5,8,2013
